PROVINCE,DISTRICT,ASC,AI RANGE
EASTERN ,Batticaloa,Vaharai,Kathiravelly
EASTERN ,Batticaloa,Vaharai,Vaharai
EASTERN ,Batticaloa,Vaharai,Panichchankerni
EASTERN ,Batticaloa,Vaharai,Mankenny
EASTERN ,Batticaloa,Valaichchenai,Oddamavadi
EASTERN ,Batticaloa,Valaichchenai,Thiyavattavan
EASTERN ,Batticaloa,Valaichchenai,Valaichchenai
EASTERN ,Batticaloa,Kiran,Koravely
EASTERN ,Batticaloa,Kiran,Kiran
EASTERN ,Batticaloa,Kiran,Kudumbimalai
EASTERN ,Batticaloa,Vantharumoolai,Vantharumoolai
EASTERN ,Batticaloa,Vantharumoolai,Sittandy
EASTERN ,Batticaloa,Eravur Town,Eravur Town
EASTERN ,Batticaloa,Karadiyanaru,Kayankudah
EASTERN ,Batticaloa,Karadiyanaru,Karadiyanaru
EASTERN ,Batticaloa,Karadiyanaru,Kiththul
EASTERN ,Batticaloa,Karadiyanaru,Rugam
EASTERN ,Batticaloa,Ayithyamalai,Karavetti
EASTERN ,Batticaloa,Ayithyamalai,Ayithyamalai
EASTERN ,Batticaloa,Ayithyamalai,Unnichchi
EASTERN ,Batticaloa,Mandapathady,Mandapathadi
EASTERN ,Batticaloa,Mandapathady,Panchenai
EASTERN ,Batticaloa,Mandapathady,Kaanchirankudah
EASTERN ,Batticaloa,Kokkadichcholai,Kokkadichcholai
EASTERN ,Batticaloa,Kokkadichcholai,Mavadimunmaari
EASTERN ,Batticaloa,Kokkadichcholai,Kadukkamunai
EASTERN ,Batticaloa,Thanthamalai,Thanthamalai
EASTERN ,Batticaloa,Palugaman,Palugaman
EASTERN ,Batticaloa,Palugaman,Kanthipuram
EASTERN ,Batticaloa,Palugaman,Thikkodai
EASTERN ,Batticaloa,Vellavelly,Palayadivattai
EASTERN ,Batticaloa,Vellavelly,Vellavelly
EASTERN ,Batticaloa,Vellavelly,Kaakkachchivaddai
EASTERN ,Batticaloa,Mandoor,Ranamadu
EASTERN ,Batticaloa,Mandoor,Mandoor
